timestamp,open,high,low,close,volume
2020-03-03,1740.0000,1818.0000,1692.4000,1736.7500,2468125
2020-03-02,1940.0000,1962.4000,1652.3000,1724.2000,1087385
2020-02-28,1919.9000,1939.0000,1828.0000,1907.4000,935799
2020-02-27,1997.0000,2009.7500,1932.5000,1972.4500,905212
2020-02-26,2025.0000,2040.0000,1993.7000,2015.6000,289698
2020-02-25,2045.3500,2125.0000,2023.5000,2033.8000,189507
2020-02-24,2071.8000,2073.8999,2028.8000,2045.3500,196646
2020-02-20,2112.0000,2121.3999,2061.0000,2071.1499,241237
2020-02-19,2088.1499,2119.3000,2087.4500,2112.8000,310296
2020-02-18,2098.6499,2098.6499,2051.8999,2086.5000,140563
2020-02-17,2076.0000,2098.0000,2067.5000,2089.7500,187703
2020-02-14,2082.0000,2095.8999,2064.3999,2075.8000,326606
2020-02-13,2068.7000,2077.5500,2036.4000,2072.0500,196633
2020-02-12,2044.1000,2079.0000,2033.6500,2064.9500,283572
2020-02-11,2054.8000,2058.2000,2022.5500,2043.6500,217218
2020-02-10,2003.0000,2069.4500,2003.0000,2047.0500,190836
2020-02-07,2042.3500,2076.6499,2042.3500,2056.3999,339942
2020-02-06,2051.0000,2067.1001,2034.0000,2052.3501,223098
2020-02-05,1994.0000,2058.8000,1987.1500,2053.3501,457729
2020-02-04,1985.0000,2008.0000,1974.0500,1997.1500,269052
2020-02-03,1912.9500,1992.8000,1910.1500,1985.5000,258940
2020-01-31,1978.0000,1987.1500,1940.7000,1956.8500,227199
2020-01-30,1958.5500,1994.1000,1941.1000,1973.0500,381582
2020-01-29,1941.0000,1965.0000,1934.0000,1958.5500,160807
2020-01-28,1964.7000,1970.0000,1920.1000,1933.0500,267628
2020-01-27,1950.8000,1987.9000,1950.6000,1963.2000,410958
2020-01-24,1892.1000,1974.2000,1875.0000,1959.2500,959326
2020-01-23,1909.0000,1953.0000,1887.0000,1899.9000,1699593
2020-01-22,1947.0000,1947.0000,1906.0000,1918.3000,235536
2020-01-21,1923.0000,1959.0000,1920.3500,1937.6500,679631
2020-01-20,1915.1500,1939.0000,1906.1500,1920.5000,294659
2020-01-17,1910.0000,1922.6000,1867.3000,1913.1500,215016
2020-01-16,1930.9500,1946.5500,1906.8000,1914.7000,383453
2020-01-15,1890.0000,1935.9500,1878.7500,1930.2000,488653
2020-01-14,1870.0000,1906.0000,1866.1500,1892.6500,349578
2020-01-13,1907.0000,1921.8000,1873.1000,1883.6500,317739
2020-01-10,1913.4000,1916.7500,1894.0000,1905.7000,329620
2020-01-09,1875.0000,1910.0500,1871.2500,1901.5500,409561
2020-01-08,1860.0000,1868.6500,1833.8000,1863.6000,255105
2020-01-07,1859.0000,1888.9500,1855.7000,1867.1500,312508
2020-01-06,1875.0000,1887.4500,1850.1000,1857.0000,213477
2020-01-03,1875.0000,1884.8500,1862.7000,1875.1500,253822
2020-01-02,1900.0000,1913.9500,1871.2500,1879.3500,668647
2020-01-01,1907.0000,1910.2500,1881.1000,1900.0000,297304
2019-12-31,1900.8000,1914.9000,1890.0000,1898.4000,411200
2019-12-30,1883.6000,1924.0000,1883.0000,1903.5000,992074
2019-12-27,1832.7500,1889.7000,1821.2000,1883.6000,992075
2019-12-26,1808.9500,1832.0000,1808.9500,1821.4000,283034
2019-12-24,1829.7000,1837.8500,1801.7000,1808.8000,170704
2019-12-23,1821.6500,1839.8000,1812.3000,1826.6500,227337
2019-12-20,1830.0000,1847.5500,1820.1000,1832.8000,383072
2019-12-19,1823.6500,1851.0000,1794.0000,1837.4000,487332
2019-12-18,1795.0000,1830.9500,1793.3500,1823.4500,541397
2019-12-17,1758.6500,1800.4500,1750.0000,1793.6000,329346
2019-12-16,1753.2000,1776.8000,1752.6000,1758.6500,228366
2019-12-13,1736.2000,1762.0000,1736.2000,1752.2000,225603
2019-12-12,1736.0500,1742.0000,1724.0000,1731.9000,159618
2019-12-11,1740.0000,1750.9500,1723.0000,1736.3000,266037
2019-12-10,1737.1500,1758.2000,1727.8000,1751.8000,498361
2019-12-09,1754.6000,1764.0500,1713.8000,1737.1500,304112
2019-12-06,1805.7500,1814.3500,1711.0000,1754.4000,411710
2019-12-05,1784.9500,1808.0000,1770.3500,1802.0500,298840
2019-12-04,1805.0000,1814.0000,1768.4500,1784.9500,263848
2019-12-03,1818.0000,1827.8500,1796.0500,1804.2500,318948
2019-12-02,1814.8000,1837.3000,1800.7500,1811.5000,652717
2019-11-29,1789.4000,1829.0000,1775.2500,1811.5000,1507968
2019-11-28,1773.0500,1792.0000,1758.8000,1788.9500,163825
2019-11-27,1755.0500,1776.0000,1752.2000,1773.1500,196058
2019-11-26,1797.8500,1797.8500,1748.7000,1755.0500,250832
2019-11-25,1786.3000,1801.9000,1782.0000,1789.9500,173782
2019-11-22,1797.5500,1825.0000,1777.9000,1786.5500,680602
2019-11-21,1778.3500,1810.0000,1762.5000,1797.0000,569621
2019-11-20,1750.0000,1774.3000,1730.3000,1769.1000,192777
2019-11-19,1740.0000,1773.5000,1734.9000,1741.6000,211073
2019-11-18,1735.6000,1750.2000,1711.1000,1734.2000,158580
2019-11-15,1760.0000,1769.0000,1730.0000,1739.5000,182799
2019-11-14,1731.5500,1752.7000,1717.7000,1750.0500,217172
2019-11-13,1771.7000,1771.7000,1728.0000,1735.0000,313684
2019-11-11,1759.5000,1783.0000,1748.8500,1777.0000,180158
2019-11-08,1743.6500,1784.7500,1743.6500,1759.5000,215429
2019-11-07,1769.4500,1769.4500,1746.4000,1758.3500,132772
2019-11-06,1771.0000,1777.0000,1750.0000,1753.8000,240731
2019-11-05,1741.0000,1769.9000,1695.0000,1763.2500,897297
2019-11-04,1792.5500,1792.5500,1726.8000,1740.6500,415234
2019-11-01,1788.0500,1809.8500,1775.0000,1781.5000,233031
2019-10-31,1808.8500,1825.0000,1773.2500,1777.0000,314231
2019-10-30,1780.0000,1804.1000,1762.1500,1799.2500,515251
2019-10-29,1765.0000,1806.9000,1755.0000,1790.3000,350251
2019-10-27,0.0000,0.0000,0.0000,0.0000,0
2019-10-25,1802.0000,1809.9000,1772.0000,1782.6000,265479
2019-10-24,1795.0000,1858.1500,1790.4500,1799.8000,638596
2019-10-23,1785.0000,1785.0000,1748.2000,1772.0000,386883
2019-10-22,1829.0000,1857.3000,1783.0000,1801.8000,381460
2019-10-18,1843.4000,1847.0000,1815.6000,1827.5500,693796
2019-10-17,1834.6500,1856.9500,1806.0000,1840.9000,1912435
2019-10-16,1828.0000,1838.0000,1811.8000,1821.3000,315200
2019-10-15,1799.7000,1835.8500,1790.0500,1818.7500,331901
2019-10-14,1802.8000,1805.0000,1783.3000,1799.4000,315065
2019-10-11,1778.0000,1820.0000,1778.0000,1793.3000,378494
2019-10-10,1800.4500,1810.0000,1765.0000,1776.6500,248852
